Name of School,Address,Town,Latitude,Longitude,Category of School,Private or Public (GES Schools),Region,District,Circuit,First Name,Last Name,Contact Number,Contact Email,Number of Classrooms,Boarding Facilities?,Sanitary Facilities?,Science or Teachnical Laboratory?,Assembly Hall?,Library Facilities?,Dining Facilities?,School Bus?,Sporting Facilities?,Staff Accommodation?,Description
ATWIMA KWANWOMA SENIOR HIGH/TECH SCHOOL,,TREDE,"6?34'51.3""N","1?40'47.4""W",SHS,Public,ASHANTI,ATWIMA KWANWOMA,,,,+233 20 917 2634,atwimakwanwomashst@ges.gov.gh,,YES,,,,,,,,,
KWANWOMA SENIOR HIGH SCHOOL,,"ADUM
KWANWOMA","6?34'47.6""N","1?40'47.4""W",SHS,Public,ASHANTI,ATWIMA KWANWOMA,,,,+233 20 917 2634,kwanwomashst@ges.gov.gh,,NO,,,,,,,,,
MPASATIA SENIOR HIGH/TECH SCHOOL,,MPASATIA,"6?39'56.2""N","1?50'41.0""W",SHS,Public,ASHANTI,ATWIMA MPONUA,,,,+233 24 478 1673,mpasatiashst@ges.gov.gh,,YES,,,,,,,,,
NYINAHIN CATH. SENIOR HIGH SCHOOL,,NYINAHIN,"6?36'44.4""N","2?05'16.8""W",SHS,Public,ASHANTI,ATWIMA MPONUA,,,,+233 55 379 9970,nyinahincathshs@ges.gov.gh,,YES,,,,,,,,,
ADOBEWORA COMM. SENIOR HIGH SCHOOL,,ADOBEWORA,"6?32'45.2""N","2?00'11.3""W",SHS,Public,ASHANTI,ATWIMA MPONUA,,,,+233 24 942 9084,adobeworacommshs@ges.gov.gh,,NO,,,,,,,,,
BAREKESE SENIOR HIGH SCHOOL,,BAREKESE,"6?51'19.9""N","1?43'35.9""W",SHS,Public,ASHANTI,ATWIMA NWABIAGYA,,,,+233 24 252 3323,barekeseshs@ges.gov.gh,,YES,,,,,,,,,
"OSEI TUTU SENIOR HIGH SCHOOL, AKROPONG",,AKROPONG,"6?44'34.6""N","1?43'20.5""W",SHS,Public,ASHANTI,ATWIMA NWABIAGYA,,,,+233 24 330 7213,oseitutuakropongshs@ges.gov.gh,,YES,,,,,,,,,
NKAWIE SENIOR HIGH/TECH SCHOOL,,NKAWIE,"6?40'13.6""N","1?48'18.5""W",SHS,Public,ASHANTI,ATWIMA NWABIAGYA,,,,+233 24 492 6680,nkawieshst@ges.gov.gh,,YES,,,,,,,,,
TOASE SENIOR HIGH SCHOOL,,TOASE,"6?39'46.6""N","1?48'36.8""W",SHS,Public,ASHANTI,ATWIMA NWABIAGYA,,,,+233 24 614 3802,toaseshs@ges.gov.gh,,YES,,,,,,,,,
OPPONG MEM. SENIOR HIGH SCHOOL,,KOKOFU,"6?30'50.3""N","1?32'14.2""W",SHS,Public,ASHANTI,BEKWAI MUNICIPAL,,,,+233 24 445 5810,oppongmemshs@ges.gov.gh,,YES,,,,,,,,,
OFOASE KOKOBEN SENIOR HIGH SCHOOL,,"OFOASE
KOKOBIN","6?28'53.1""N","1?38'19.8""W",SHS,Public,ASHANTI,BEKWAI MUNICIPAL,,,,+233 20 691 4152,ofoasekokobenshs@ges.gov.gh,,YES,,,,,,,,,
"S.D.A. SENIOR HIGH SCHOOL, BEKWAI",,BEKWAI,"6?27'57.0""N","1?34'37.3""W",SHS,Public,ASHANTI,BEKWAI MUNICIPAL,,,,+233 20 818 8910,sdabekwaishs@ges.gov.gh,,YES,,,,,,,,,
"WESLEY HIGH SCHOOL, BEKWAI",,BEKWAI,"6?28'00.1""N","1?34'03.3""W",SHS,Public,ASHANTI,BEKWAI MUNICIPAL,,,,+233 24 308 2688,wesleyhighbekwaishs@ges.gov.gh,,YES,,,,,,,,,
"ST. JOSEPH SENIOR HIGH/TECH SCHOOL, AHWIREN",,AHWIREN,"6?27'46.4""N","1?30'33.8""W",SHS,Public,ASHANTI,BEKWAI MUNICIPAL,,,,+233 50 325 0796,st.josephahwirenshst@ges.gov.gh,,YES,,,,,,,,,
DENYASEMAN CATH.SENIOR HIGH SCHOOL,,POANO,"6?26'54.5""N","1?40'35.5""W",SHS,Public,ASHANTI,BEKWAI MUNICIPAL,,,,+233 20 819 9706,denyasemancathshs@ges.gov.gh,,YES,,,,,,,,,
BOSOME SENIOR HIGH/TECH. SCHOOL,,ASIWA,"6?25'27.5""N","1?19'50.4""W",SHS,Public,ASHANTI,BOSOME FREHO,,,,+233 24 473 1426,bosomeshst@ges.gov.gh,,YES,,,,,,,,,
ST. MICHAEL TECH/VOC INST,,PRAMSO,"6?53'22.7""N","1?38'05.4""W",TVET,Public,ASHANTI,BOSOMTWE,,,,+233 32 249 1190,st.michaeltechvocinst@ges.gov.gh,,NO,,,,,,,,,
JACHIE PRAMSO SENIOR HIGH SCHOOL,,JACHIE PRAMSO,"6?34'12.0""N","1?30'52.7""W",SHS,Public,ASHANTI,BOSOMTWE,,,,+233 24 483 4871,jachiepramsoshs@ges.gov.gh,,YES,,,,,,,,,
ST. GEORGE'S SENIOR HIGH TECH SCHOOL,,KUNTANASE,"6?32'29.5""N","1?28'46.3""W",SHS,Public,ASHANTI,BOSOMTWE,,,,054 600 5218,st.georgesshst@ges.gov.gh,,YES,,,,,,,,,
BEPOSO SENIOR HIGH SCHOOL,,BEPOSO,"6?36'09.0""N","1?34'50.6""W",SHS,Public,ASHANTI,BOSOMTWE,,,,+233 24 363 8700,bepososhs@ges.gov.gh,,YES,,,,,,,,,
OSEI ADUTWUM SENIOR HIGH SCHOOL,,JACHIE,"6?34'18.5""N","1?30'55.0""W",SHS,Public,ASHANTI,BOSOMTWE,,,,+233 24 311 2745,oseiadutwumshs@ges.gov.gh,,YES,,,,,,,,,
BOSOMTWE OYOKO COMM. SENIOR HIGH SCHOOL,,"BOSOMTWE
OYOKO","6?33'47.0""N","1?34'12.4""W",SHS,Public,ASHANTI,BOSOMTWE,,,,+233 24 963 5758,bosomtweoyokocommshs@ges.gov.gh,,NO,,,,,,,,,
CHURCH OF CHRIST SENIOR HIGH SCHOOL,,[NEAR] WOE,"6?43'17.4""N","1?25'45.5""W",SHS,Public,ASHANTI,EJISU JUABEN,,,,+233 24 481 8358,churchofchristshs@ges.gov.gh,,NO,,,,,,,,,
ST. SEBASTIAN CATH. SENIOR HIGH SCHOOL,,ADUMASA,"6?37'06.6""N","1?18'45.3""W",SHS,Public,ASHANTI,EJISU JUABEN,,,,054 318 3736,st.sebastiancathshs@ges.gov.gh,,NO,,,,,,,,,
JUABEN SENIOR HIGH SCHOOL,,JUABEN,"6?47'35.9""N","1?27'53.2""W",SHS,Public,ASHANTI,EJISU JUABEN MUNICIPAL,,,,+233 54 151 1326,juabenshs@ges.gov.gh,,YES,,,,,,,,,
BONWIRE SENIOR HIGH/TECH SCHOOL,,BONWIRE,"6?48'03.2""N","1?28'07.1""W",SHS,Public,ASHANTI,EJISU JUABEN MUNICIPAL,,,,+233 20 820 1810,bonwireshst@ges.gov.gh,,YES,,,,,,,,,
EJISUMAN SENIOR HIGH SCHOOL,,EJISU,"6?45'37.5""N","1?28'55.7""W",SHS,Public,ASHANTI,EJISU JUABEN MUNICIPAL,,,,+233 54 799 2708,ejisumanshs@ges.gov.gh,,YES,,,,,,,,,
EJISU SENIOR HIGH/TECH SCHOOL,,EJISU,"6?46'03.2""N","1?27'31.9""W",SHS,Public,ASHANTI,EJISU JUABEN MUNICIPAL,,,,054 635 4802,ejisushst@ges.gov.gh,,YES,,,,,,,,,
ACHINAKROM SENIOR HIGH SCHOOL,,ACHINAKROM,"6?40'09.2""N","1?27'59.9""W",SHS,Public,ASHANTI,EJISU JUABEN MUNICIPAL,,,,+233 24 447 7879,achinakromshs@ges.gov.gh,,YES,,,,,,,,,
ONWE SENIOR HIGH SCHOOL,,EJISU ONWE,"6?41'21.0""N","1?26'43.9""W",SHS,Public,ASHANTI,EJISU ONWE,,,,+233 20 957 7517,onweshs@ges.gov.gh,,NO,,,,,,,,,
EJURAMAN ANGLICAN SENIOR HIGH SCHOOL,,EJURA,"7?22'18.5""N","1?22'28.6""W",SHS,Public,ASHANTI,EJURA/SEKYEDUMASE,,,,+233 20 507 3934,ejuramananglicanshs@ges.gov.gh,,YES,,,,,,,,,
SEKYEDUMASE SENIOR HIGH/TECH SCHOOL,,SEKYEDUMASE,"7?18'49.4""N","1?33'21.5""W",SHS,Public,ASHANTI,EJURA/SEKYEDUMASE,,,,+233 20 878 8556,sekyedumashst@ges.gov.gh,,YES,,,,,,,,,
AKWESI AWOBAA SENIOR HIGH SCHOOL,,ANYINASU,"7?13'52.3""N","1?34'27.3""W",SHS,Public,ASHANTI,EJURA/SEKYEDUMASE,,,,+233 24 447 7585,akwesiawobaashs@ges.gov.gh,,NO,,,,,,,,,
"PENTECOST SENIOR HIGH SCHOOL, KUMASI",,"BREMAN WEST,
KUMASI","6?45'00.9""N","1?38'26.3""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 24 405 0069,pentecostkumasishs@ges.gov.gh,,NO,,,,,,,,,
OSEI KYERETWIE SENIOR HIGH SCHOOL,,"OLD TAFO -
KUMASI","6?44'52.3""N","1?36'58.4""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 55 384 5370,oseikyeretwieshs@ges.gov.gh,,YES,,,,,,,,,
"AL-AZARIYA ISLAMIC SENIOR HIGH SCHOOL,
KUMASI",,"OLD TAFO,
KUMASI","6?49'11.5""N","1?37'41.1""W",SHS,Public,ASHANTI,KUMASI METRO,,,,055 383 8836,al-azariyaislamicshs@ges.gov.gh,,NO,,,,,,,,,
KUMASI GIRLS SENIOR HIGH SCHOOL,,ABREPO,"6?44'11.8""N","1?39'32.7""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 24 284 3825,kumasigirlsshs@ges.gov.gh,,YES,,,,,,,,,
"UTHMANIYA SENIOR HIGH SCHOOL, TAFO",,TAFO,"6?43'39.8""N","1?37'00.2""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 20 825 6839,uthmaniyashs@ges.gov.gh,,NO,,,,,,,,,
KUMASI WESLEY GIRLS HIGH SCHOOL,,"OLD TAFO -
KUMASI","6?43'29.2""N","1?37'08.6""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 24 483 6427,kumasiwesleygirlsshs@ges.gov.gh,,YES,,,,,,,,,
ASANTEMAN SENIOR HIGH SCHOOL,,BANTAMA,"6?42'50.6""N˜","1?37'39.4""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 24 420 6959,asantemanshs@ges.gov.gh,,YES,,,,,,,,,
"ADVENTIST  SENIOR HIGH SCHOOL, KUMASI",,"BANTAMA-
KUMASI","6?42'47.8""N","1?37'54.8""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 24 321 5472,adventistkumasishs@ges.gov.gh,,YES,,,,,,,,,
SERWAAH NYARKO GIRLS' SENIOR HIGH SCHOOL,,DICHEMSO,"6?42'53.7""N","1?36'31.8""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 20 819 9706,serwaahnyarkogirlsshs@ges.gov.gh,,YES,,,,,,,,,
PREMPEH COLLEGE,,"SOFOLINE-
KUMASI","6?42'25.0""N","1?38'40.6""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 20 573 6772,prempehshs@ges.gov.gh,,YES,,,,,,,,,
"NURU-AMEEN ISLAMIC SENIOR HIGH SCHOOL,
ASEWASE",,ASEWASE,"6?42'09.4""N","1?36'30.7""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 24 423 2099,nuru-ameenislamicshs@ges.gov.gh,,NO,,,,,,,,,
TAWHEED SENIOR HIGH SCHOOL,,"KUMASI-
AKWATIA LINE","6?42'17.6""N","1?36'33.0""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 24 362 4754,tawheedshs@ges.gov.gh,,YES,,,,,,,,,
YAA ASANTEWAA GIRLS SENIOR HIGH SCHOOL,,TANOSO-KUMASI,"6?42'08.2""N","1?41'52.0""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 24 457 0712,yaaasantewaagirlsshs@ges.gov.gh,,YES,,,,,,,,,
PRINCE OF PEACE GIRLS,,"KWADASO
ESTATES","6?42'12.9""N","1?38'34.0""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 24 210 1411,princeofpeacegirlsshs@ges.gov.gh,,NO,,,,,,,,,
"ST. LOUIS SENIOR HIGH SCHOOL, KUMASI",,ODUOM-KUMASI,"6?41'46.0""N","1?32'42.4""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 32 701 0085,st.louiskumasishs@ges.gov.gh,,YES,,,,,,,,,
"ARMED FORCES SENIOR HIGH/TECH SCHOOL,
KUMASI",,"BANTAMA-
KUMASI","6?40'04.0""N","1?36'59.7""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 24 873 2262,armedforceskumasishst@ges.gov.gh,,YES,,,,,,,,,
KUMASI TECH. INST.,,KUMASI,"6?42'00.6""N","1?36'25.6""W",TECH,Public,ASHANTI,KUMASI METRO,,,,+233 20 153 9217,kumasitechinst@ges.gov.gh,,YES,,,,,,,,,
"ANGLICAN SENIOR HIGH SCHOOL, KUMASI",,ASEM-KUMASI,"6?41'52.4""N","1?36'28.9""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 24 948 9496,anglicankumasishs@ges.gov.gh,,YES,,,,,,,,,
KNUST SENIOR HIGH SCHOOL,,KNUST,"6?41'47.0""N˜","1?32'50.5""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 55 788 9989,knustshs@ges.gov.gh,,YES,,,,,,,,,
"T. I. AHMADIYYA SENIOR HIGH SCHOOL, KUMASI",,"KUMASI -
STADIUM","6?41'13.3""N","1?36'25.8""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 20 826 4955,t.i.ahmadiyyakumasishs@ges.gov.gh,,YES,,,,,,,,,
KUMASI SENIOR HIGH/TECH SCHOOL,,PATASI-KUMASI,"6?41'13.6""N","1?38'44.2""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 32 202 9588,kumasishst@ges.gov.gh,,YES,,,,,,,,,
"AGRIC NZEMA SENIOR HIGH SCHOOL, KUMASI",,"KUMASI, AGRIC
NZEMA","6?40'27.0""N","1?40'36.8""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 242688586,agricnzemashs@ges.gov.gh,,NO,,,,,,,,,
OPOKU WARE SENIOR HIGH SCHOOL,,SANTASI-KUMASI,"6?40'10.9""N","1?38'40.4""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 54 558 6658,opokuwareshs@ges.gov.gh,,YES,,,,,,,,,
"ST. HUBERT SEM/SENIOR HIGH SCHOOL, KUMASI",,SANTASI-KUMASI,"6?39'56.2""N","1?38'49.4""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 24 413 3693,st.hubertsemshs@ges.gov.gh,,YES,,,,,,,,,
KUMASI SENIOR HIGH SCHOOL,,"GYINYASE-
KUMASI","6?40'07.0""N","1?34'58.5""W",SHS,Public,ASHANTI,KUMASI METRO,,,,+233 20 672 9148,kumasishs@ges.gov.gh,,YES,,,,,,,,,
"ISLAMIC SENIOR HIGH SCHOOL, AMPABAME",,AMPABAME,"6?43'07.7""N","1?38'35.5""W",SHS,Public,ASHANTI,KUMASI METRO.,,,,+233 24 423 3157,islamicampabameshs@ges.gov.gh,,YES,,,,,,,,,
METHODIST TECHNINCAL  INSTITUTE,,KWADASO,"6?41'53.3""N","1?39'10.0""W",SHS,Public,ASHANTI,KUMASI METRO.,,,,+233 24 636 1888,methodisttechinst@ges.gov.gh,,YES,,,,,,,,,
"ADVENTIST GIRLS SENIOR HIGH SCHOOL, NTONSO",,NTONSO,"6?49'12.0""N","1?31'12.4""W",SHS,Public,ASHANTI,KWABRE EAST,,,,+233 24 498 7344,adventistgirlsshs@ges.gov.gh,,YES,,,,,,,,,
ADANWOMASE SENIOR HIGH SCHOOL,,ADANWOMASE,"6?48'58.9""N","1?28'49.7""W",SHS,Public,ASHANTI,KWABRE EAST,,,,+232 24 402 9861,adanwomaseshs@ges.gov.gh,,YES,,,,,,,,,
GYAAMA PENSAN SENIOR HIGH/TECH SCHOOL,,"ABOASO-
ASHANTI","6?48'20.4""N","1?32'11.0""W",SHS,Public,ASHANTI,KWABRE EAST,,,,+233 24 429 0823,gyaamapensanshst@ges.gov.gh,,YES,,,,,,,,,
KOFI ADJEI SENIOR HIGH/TECH SCHOOL,,BAMPENASE,"6?47'51.1""N","1?34'53.4""W",SHS,Public,ASHANTI,KWABRE EAST,,,,+233 24 365 9581,kofiadjeishst@ges.gov.gh,,YES,,,,,,,,,
SIMMS SENIOR HIGH/COM. SCHOOL,,FAWOADE,"6?47'03.6""N","1?33'59.4""W",SHS,Public,ASHANTI,KWABRE EAST,,,,055 712 3463,simmscomshs@ges.gov.gh,,YES,,,,,,,,,
ANTOA SENIOR HIGH SCHOOL,,ANTOA,"6?47'04.2""N","1?33'59.4""W",SHS,Public,ASHANTI,KWABRE EAST,,,,+233 24 498 7344,antoashs@ges.gov.gh,,YES,,,,,,,,,
OPOKU AGYEMAN SENIOR HIGH/TECH SCHOOL,,APAAH,"7?13'52.1""N","1?34'36.9""W",SHS,Public,ASHANTI,MAMPONG MUNICIPAL,,,,+233 24 457 1764,opokuagyemanshst@ges.gov.gh,,NO,,,,,,,,,
KOFIASE ADVENTIST SENIOR HIGH/TECH. SCHOOL,,KOFIASE,"7?09'15.4""N","1?29'39.9""W",SHS,Public,ASHANTI,MAMPONG MUNICIPAL,,,,+233 24 460 5183,kofiaseadventistshs.@ges.gov.gh,,YES,,,,,,,,,
AMANIAMPONG SENIOR HIGH SCHOOL,,MAMPONG,"7?04'34.6""N","1?24'01.7""W",SHS,Public,ASHANTI,MAMPONG MUNICIPAL,,,,+233 20 823 6380,amaniampongshs@ges.gov.gh,,YES,,,,,,,,,
"ST. JOSEPH SEM/SENIOR HIGH SCHOOL, MAMPONG",,MAMPONG,"7?03'47.1""N","1?23'37.9""W",SHS,Public,ASHANTI,MAMPONG MUNICIPAL,,,,024 447 6613,st.josephsemshs@ges.gov.gh,,YES,,,,,,,,,
"ST. MONICA'S SENIOR HIGH SCHOOL, MAMPONG",,MAMPONG,"7?03'09.9""N","1?24'16.2""W",SHS,Public,ASHANTI,MAMPONG MUNICIPAL,,,,+233 20 812 6838,st.monicasmampongshs@ges.gov.gh,,YES,,,,,,,,,
SPIRITAN SENIOR HIGH SCHOOL,,ADANKWAME,"6?48'14.1""N","1?43'16.6""W",SHS,Public,ASHANTI,NKAWIE,,,,024 614 3802,spiritanshs@ges.gov.gh,,NO,,,,,,,,,
"CHRIST THE KING CATH., OBUASI",,OBUASI,"6?12'32.4""N˜","1?38'00.8""W",SHS,Public,ASHANTI,OBUASI MUNICIPAL,,,,+233 20 131 1954,christthekingcathshs@ges.gov.gh,,YES,,,,,,,,,
OBUASI SENIOR HIGH/TECH SCHOOL,,OBUASI,"6?12'09.4""N","1?41'08.2""W",SHS,Public,ASHANTI,OBUASI MUNICIPAL,,,,+233 20 346 1568,obuasishst@ges.gov.gh,,YES,,,,,,,,,
"ST. JEROME SENIOR HIGH SCHOOL, ABOFOUR",,ABOFOUR,"7?08'43.0""N","1?44'34.6""W",SHS,Public,ASHANTI,OFFINSO MUNICIPAL,,,,+233 20 863 3313,st.jeromeshs@ges.gov.gh,,YES,,,,,,,,,
NAMONG SENIOR HIGH/TECH SCHOOL,,NAMONG,"6?58'42.0""N","1?40'46.6""W",SHS,Public,ASHANTI,OFFINSO MUNICIPAL,,,,+233 24 405 5866,namongshst@ges.gov.gh,,YES,,,,,,,,,
DWAMENA AKENTEN SENIOR HIGH SCHOOL,,OFFINSO,"6?57'33.2""N˜","1?40'27.1""W",SHS,Public,ASHANTI,OFFINSO MUNICIPAL,,,,+233 20 814 9136,dwamenaakentenshs@ges.gov.gh,,YES,,,,,,,,,
WIAFE AKENTEN PRESBY SENIOR HIGH SCHOOL,,AFRANCHO,"7?25'44.6""N","1?58'23.8""W",SHS,Public,ASHANTI,OFFINSO NORTH,,,,+233 24 554 8552,wiafeakentenpresbyshs@ges.gov.gh,,NO,,,,,,,,,
AKUMADAN SENIOR HIGH SCHOOL,,AKUMADAN,"7?23'39.6""N","1?56'50.8""W",SHS,Public,ASHANTI,OFFINSO NORTH,,,,+233 55 330 5025,akumadanshs@ges.gov.gh,,YES,,,,,,,,,
NKENKANSU COMMUNITY SENIOR HIGH SCHOOL,,NKENKANSU,"7?21'06.5""N","1?54'51.9""W",SHS,Public,ASHANTI,OFFINSO NORTH,,,,+233 24 476 7028,nkenkansucommshs@ges.gov.gh,,YES,,,,,,,,,
